Financial Year,Reporting Period,Activity Month,Breakdown,CCG code,CCG name,Provider code,Provider name,Specific acute specialties: Ordinary Elective,Specific acute specialties: Daycase Elective,Specific acute specialties: Elective total,Specific acute specialties: Non-Elective,Specific acute specialties: First attendances seen - GP referrals,Specific acute specialties: First attendances seen - other referrals,Specific acute specialties: First attendances seen total,Specific acute specialties: First attendances DNA,Specific acute specialties: Subsequent attendances seen,Specific acute specialties: Subsequent attendances DNA,All specialties: Ordinary Elective,All specialties: Daycase Elective,All specialties: Elective total,All specialties: Non-Elective,All specialties: First attendances seen - GP referrals,All specialties: First attendances seen - other referrals,All specialties: First attendances seen total,All specialties: First attendances DNA,All specialties: Subsequent attendances seen,All specialties: Subsequent attendances DNA
2025-26,13,Aug 2025,CCGProv,03N,NHS SOUTH YORKSHIRE ICB - 03N,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,*,0
2025-26,13,Aug 2025,CCGProv,03Q,NHS HUMBER AND NORTH YORKSHIRE ICB - 03Q,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,0,0,0,*,0,0,0,0,*,0,0,0,0,*,0,0,0,0,*,0
2025-26,13,Aug 2025,CCGProv,03Q,NHS HUMBER AND NORTH YORKSHIRE ICB - 03Q,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,0,*,*,0,0,0,0,0,*,*,0,*,*,0,0,0,0,0,*,*
2025-26,13,Aug 2025,CCGProv,03R,NHS WEST YORKSHIRE ICB - 03R,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0,0,*,0
2025-26,13,Aug 2025,CCGProv,03W,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB - 03W",RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,*,0,*,*,0,0,0,0,*,0,*,0,*,*,0,0,0,0,*,0
2025-26,13,Aug 2025,CCGProv,04C,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB - 04C",RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0,0,*,0
2025-26,13,Aug 2025,CCGProv,04V,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB - 04V",RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,*,*,*,*,0,0,0,0,0,0,*,*,*,*,0
2025-26,13,Aug 2025,CCGProv,04V,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB - 04V",RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,0,*,*,*,0,*,*,0,*,0,0,*,*,*,0,*,*,0,*,0
2025-26,13,Aug 2025,CCGProv,04Y,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 04Y,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0,0,*,0,0
2025-26,13,Aug 2025,CCGProv,05D,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 05D,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,*,0,*,*,0,0,0,0,0,0,*,0,*,*,0,0,0,0,0,0
2025-26,13,Aug 2025,CCGProv,05G,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 05G,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,*,*,0,0,0,0,0,0,0,0,*,*,0,0,0
2025-26,13,Aug 2025,CCGProv,05G,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 05G,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0
2025-26,13,Aug 2025,CCGProv,05V,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 05V,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0,0,*,0,0
2025-26,13,Aug 2025,CCGProv,05V,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 05V,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,0,0,0,*,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0
2025-26,13,Aug 2025,CCGProv,05W,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 05W,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,0,0,0,*,0,0,0,0,*,0,0,0,0,*,0,0,0,0,*,0
2025-26,13,Aug 2025,CCGProv,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH ICB - 06H,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,0,0,0,*,0,*,*,*,*,0,0,0,0,*,0,*,*,*,*,0
2025-26,13,Aug 2025,CCGProv,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH ICB - 06H,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,0,0,0,0,0,*,*,0,*,*,0,0,0,0,0,*,*,0,*,*
2025-26,13,Aug 2025,CCGProv,06K,NHS HERTFORDSHIRE AND WEST ESSEX ICB - 06K,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0,0,*,0
2025-26,13,Aug 2025,CCGProv,06K,NHS HERTFORDSHIRE AND WEST ESSEX ICB - 06K,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,0,0,0,*,0,0,0,0,0,0,0,0,0,*,0,0,0,0,*,0
